D2 temp time
0.5827346558523981 282.5220161468688 383.8
0.5825998026571149 282.5220153398448 383.9
0.5824649494673203 282.5220145324472 384.0
0.5823300962830167 282.5220137246756 384.1
0.582195243104207 282.52201291652983 384.2
0.5820603899308932 282.5220121080096 384.3
0.581925536763078 282.5220112991147 384.4
0.581790683600764 282.5220104898448 384.5
0.5816558304439541 282.52200968019963 384.6
0.5815209772926504 282.522008870179 384.7
0.5813861241468555 282.5220080597826 384.8
0.5812512710065723 282.5220072490102 384.9
0.5811164178718029 282.52200643786153 385.0
0.5809815647425502 282.5220056263363 385.1
0.5808467116188166 282.5220048144343 385.2
0.5807118585006047 282.5220040021552 385.3
0.5805770053879171 282.5220031894988 385.4
0.5804421522807561 282.5220023764648 385.5
0.5803072991791249 282.5220015630529 385.6
0.5801724460830253 282.52200074926293 385.7
0.5800375929924605 282.5219999350946 385.8
0.5799027399074327 282.52199912054755 385.9
0.5797678868279444 282.52199830562165 386.0
0.5796330337539988 282.52199749031655 386.1
0.5794981806855977 282.521996674632 386.2
0.5793633276227441 282.5219958585678 386.3
0.5792284745654405 282.5219950421236 386.4
0.5790936215136894 282.5219942252992 386.5
0.5789587684674936 282.52199340809426 386.6
0.5788239154268555 282.52199259050855 386.7
0.578689062391778 282.5219917725418 386.8
0.5785542093622631 282.52199095419377 386.9
0.5784193563383138 282.52199013546414 387.0
0.5782845033199326 282.5219893163527 387.1
0.5781496503071223 282.52198849685914 387.2
0.5780147972998853 282.52198767698326 387.3
0.5778799442982242 282.5219868567247 387.4
0.5777450913021415 282.52198603608326 387.5
0.5776102383116402 282.52198521505863 387.6
0.5774753853267224 282.5219843936506 387.7
0.577340532347391 282.52198357185887 387.8
0.5772056793736486 282.52198274968316 387.9
0.5770708264054979 282.5219819271232 388.0
0.576935973442941 282.5219811041787 388.1
0.5768011204859813 282.5219802808494 388.2
0.5766662675346208 282.52197945713505 388.3
0.5765314145888624 282.5219786330354 388.4
0.5763965616487086 282.52197780855016 388.5
0.576261708714162 282.52197698367905 388.6
0.5761268557852255 282.5219761584218 388.7
0.5759920028619014 282.52197533277814 388.8
0.5758571499441926 282.5219745067478 388.9
0.5757222970321014 282.5219736803305 389.0
0.5755874441256307 282.521972853526 389.1
